,experiment,response time (ms),Subject,block,sortCol,typeOrder
120,800 ms ,857.7433599999999,3,1,e,True
121,800 ms ,923.5660799999999,3,1,e,True
123,800 ms ,450.31424,3,1,e,True
124,800 ms ,951.33696,3,1,e,True
125,800 ms ,413.4912,3,1,e,True
126,800 ms ,413.0816,3,1,e,True
128,800 ms ,395.10015999999996,3,1,e,True
129,800 ms ,390.96320000000003,3,1,e,True
130,800 ms ,507.12575999999996,3,1,e,True
132,800 ms ,348.28288000000003,3,1,e,True
134,800 ms ,527.93344,3,1,e,True
135,800 ms ,504.99584,3,1,e,True
137,800 ms ,556.4416,3,1,e,True
120,800 ms ,481.40288,3,2,e,True
121,800 ms ,701.76768,3,2,e,True
122,800 ms ,994.2630399999999,3,2,e,True
123,800 ms ,894.2387200000001,3,2,e,True
124,800 ms ,515.3587200000001,3,2,e,True
125,800 ms ,789.9955199999999,3,2,e,True
127,800 ms ,379.20768,3,2,e,True
128,800 ms ,743.09632,3,2,e,True
129,800 ms ,673.71008,3,2,e,True
130,800 ms ,836.07552,3,2,e,True
131,800 ms ,569.7945599999999,3,2,e,True
132,800 ms ,517.24288,3,2,e,True
133,800 ms ,488.52992,3,2,e,True
134,800 ms ,513.024,3,2,e,True
135,800 ms ,904.15104,3,2,e,True
136,800 ms ,821.82144,3,2,e,True
138,800 ms ,382.73024,3,2,e,True
139,800 ms ,722.61632,3,2,e,True
1,touch,503.68511999999987,4,1,a,False
2,touch,181.24800000000008,4,1,a,False
3,touch,152.65792,4,1,a,False
4,touch,305.72544,4,1,a,False
5,touch,203.20256000000003,4,1,a,False
6,touch,223.8464,4,1,a,False
7,touch,171.7043199999999,4,1,a,False
8,touch,214.67135999999996,4,1,a,False
9,touch,160.03071999999997,4,1,a,False
10,touch,175.1449599999999,4,1,a,False
11,touch,184.56576000000013,4,1,a,False
12,touch,195.7478400000001,4,1,a,False
13,touch,243.91680000000005,4,1,a,False
14,touch,173.2608,4,1,a,False
15,touch,200.54016000000007,4,1,a,False
16,touch,187.06432000000018,4,1,a,False
17,touch,555.6223999999999,4,1,a,False
19,touch,209.38751999999994,4,1,a,False
0,touch,444.08832000000007,4,2,a,False
60,100 ms ,217.57952,4,1,b,True
62,100 ms ,220.48767999999998,4,1,b,True
75,100 ms ,785.73568,4,2,b,True
80,200 ms ,408.08448000000004,4,1,c,True
81,200 ms ,241.62304,4,1,c,True
82,200 ms ,224.91136,4,1,c,True
83,200 ms ,212.86911999999998,4,1,c,True
84,200 ms ,349.02016000000003,4,1,c,True
87,200 ms ,557.50656,4,1,c,True
81,200 ms ,346.76736,4,2,c,True
84,200 ms ,654.2540799999999,4,2,c,True
88,200 ms ,383.5904,4,2,c,True
89,200 ms ,595.06688,4,2,c,True
92,200 ms ,710.98368,4,2,c,True
96,200 ms ,753.70496,4,2,c,True
98,200 ms ,555.66336,4,2,c,True
100,400 ms ,311.33696,4,1,d,True
102,400 ms ,338.73920000000004,4,1,d,True
103,400 ms ,369.70496,4,1,d,True
108,400 ms ,588.30848,4,1,d,True
110,400 ms ,570.44992,4,1,d,True
116,400 ms ,596.29568,4,1,d,True
117,400 ms ,531.00544,4,1,d,True
100,400 ms ,377.32352000000003,4,2,d,True
102,400 ms ,304.78336,4,2,d,True
103,400 ms ,407.63392,4,2,d,True
104,400 ms ,370.56512000000004,4,2,d,True
108,400 ms ,679.5264,4,2,d,True
110,400 ms ,380.928,4,2,d,True
113,400 ms ,856.84224,4,2,d,True
115,400 ms ,555.29472,4,2,d,True
117,400 ms ,423.40351999999996,4,2,d,True
118,400 ms ,599.90016,4,2,d,True
120,800 ms ,362.7008,4,1,e,True
121,800 ms ,239.98464,4,1,e,True
122,800 ms ,324.15744,4,1,e,True
123,800 ms ,311.54176,4,1,e,True
124,800 ms ,315.51488,4,1,e,True
125,800 ms ,363.19232,4,1,e,True
129,800 ms ,436.6336,4,1,e,True
135,800 ms ,822.272,4,1,e,True
136,800 ms ,465.83808,4,1,e,True
120,800 ms ,337.14176000000003,4,2,e,True
121,800 ms ,333.04576000000003,4,2,e,True
122,800 ms ,881.82784,4,2,e,True
123,800 ms ,336.0768,4,2,e,True
125,800 ms ,317.07136,4,2,e,True
126,800 ms ,359.50592,4,2,e,True
127,800 ms ,750.22336,4,2,e,True
128,800 ms ,594.08384,4,2,e,True
129,800 ms ,577.37216,4,2,e,True
132,800 ms ,638.60736,4,2,e,True
134,800 ms ,456.704,4,2,e,True
137,800 ms ,634.4704,4,2,e,True
139,800 ms ,714.79296,4,2,e,True
