,experiment,response time (ms),Subject,block,sortCol,typeOrder
104,400 ms ,488.52992,3,2,d,0
105,400 ms ,417.30048,3,2,d,0
109,400 ms ,539.8118400000001,3,2,d,0
110,400 ms ,455.39328,3,2,d,0
115,400 ms ,385.39264000000003,3,2,d,0
116,400 ms ,694.8044799999999,3,2,d,0
119,400 ms ,450.51903999999996,3,2,d,0
120,800 ms ,857.82528,3,1,e,0
121,800 ms ,924.09856,3,1,e,0
123,800 ms ,450.72384,3,1,e,0
124,800 ms ,952.77056,3,1,e,0
125,800 ms ,413.98272000000003,3,1,e,0
126,800 ms ,413.32736,3,1,e,0
128,800 ms ,396.28799999999995,3,1,e,0
129,800 ms ,391.7824,3,1,e,0
130,800 ms ,509.13280000000003,3,1,e,0
132,800 ms ,348.3648,3,1,e,0
134,800 ms ,528.384,3,1,e,0
135,800 ms ,506.2656,3,1,e,0
137,800 ms ,557.30176,3,1,e,0
120,800 ms ,482.63168,3,2,e,0
121,800 ms ,702.99648,3,2,e,0
122,800 ms ,997.41696,3,2,e,0
123,800 ms ,895.22176,3,2,e,0
124,800 ms ,516.25984,3,2,e,0
125,800 ms ,790.56896,3,2,e,0
127,800 ms ,380.23168000000004,3,2,e,0
128,800 ms ,744.61184,3,2,e,0
129,800 ms ,673.91488,3,2,e,0
130,800 ms ,837.30432,3,2,e,0
131,800 ms ,569.9993599999999,3,2,e,0
132,800 ms ,518.26688,3,2,e,0
133,800 ms ,490.496,3,2,e,0
134,800 ms ,514.37568,3,2,e,0
136,800 ms ,822.6816,3,2,e,0
137,800 ms ,513.80224,3,2,e,0
138,800 ms ,383.46752,3,2,e,0
139,800 ms ,723.51744,3,2,e,0
1,tactor,508.39551999999986,4,1,a,1
2,tactor,182.02624000000012,4,1,a,1
3,tactor,154.50111999999993,4,1,a,1
4,tactor,306.2579200000002,4,1,a,1
5,tactor,203.28448,4,1,a,1
6,tactor,223.88735999999997,4,1,a,1
7,tactor,171.7452799999999,4,1,a,1
8,tactor,217.12896000000003,4,1,a,1
9,tactor,160.44031999999996,4,1,a,1
10,tactor,177.84832000000006,4,1,a,1
11,tactor,186.57279999999997,4,1,a,1
12,tactor,195.7888000000001,4,1,a,1
13,tactor,245.18656000000004,4,1,a,1
